Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
The Bent Spoon,"3 by OYO - Nami Residency,Ellis Bridge, Central Ahmedabad", Central Ahmedabad,Ahmedabad,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  Thai,  Gujarati,  Finger Food",3.2,16,800
Topaz,"Chandkheda, North Ahmedabad", North Ahmedabad,Ahmedabad,"North Indian,  Italian,  Chinese,  Mexican",4.7,16,700
Fabcafe By Fabindia,"Sector 17, Central Chandigarh", Central Chandigarh,Chandigarh,"Health Food,  Modern Indian,  North Indian,  Continental",4.1,16,1200
Sip 'N' Dine,"Sector 7, East Chandigarh", East Chandigarh,Chandigarh,"North Indian,  Chinese,  Seafood",4.5,16,1500
Swag,"Phase 7, Mohali", Mohali,Chandigarh,Fast Food,4.7,16,500
Burgflix,"Phase 10, Mohali", Mohali,Chandigarh,"Continental,  Fast Food",4.5,16,200
Masala Grill,"The Cove,Sector 5, Panchkula", Panchkula,Chandigarh,"North Indian,  Chinese",4.4,16,1500
HIVE Shack 24x7,"Raja Park, East Jaipur", East Jaipur,Jaipur,"North Indian,  Italian,  Fast Food",4.5,16,600
Conversation,"The Fern An Ecotel Hotel,Tonk Road, South Jaipur", South Jaipur,Jaipur,"Continental,  Chinese,  Mughlai",4.4,16,1800
Marine Room,"The Piccadily Lucknow,Alambagh, South Lucknow", South Lucknow,Lucknow,"North Indian,  Mughlai,  Continental,  Oriental ",4.4,16,3000
Mocha,"Anand Plaza,Gomti Nagar, East Lucknow", East Lucknow,Lucknow,"Multi-Cuisine,  North Indian,  Chinese,  Mughlai,  Fast Food",3.9,16,2000
Be The Beer,"Levana Cyber Heights,Gomti Nagar, East Lucknow", East Lucknow,Lucknow,"Multi-Cuisine,  North Indian,  Italian,  Chinese",3.5,16,2000
Poseidon,"Hotel Ranbirs,Gomti Nagar, East Lucknow", East Lucknow,Lucknow,"North Indian,  Chinese",4.3,16,1200
Ice Balls and Slice Square,"New Palasia, Central Indore", Central Indore,Indore,"Fast Food,  Ice Cream",4.6,16,300
Revolution,"Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Fast Food,  Continental",3.1,16,2400
Veg Bites,"South Tukoganj, East Indore", East Indore,Indore,"Fast Food,  Chinese",2.1,16,600
Zuby's FNF,"Navneet Plaza,Old Palasia, Central Indore", Central Indore,Indore,Fast Food,3.7,16,500
Cakes N Craft,"Old Palasia, Central Indore", Central Indore,Indore,"Bakery and Confectionary,  Desserts",4.1,16,500
Effe Cafe,"Papaya Tree Hotel,Rau, South Indore", South Indore,Indore,Fast Food,3.9,16,1200
The Spoonful Cafe,"Vijay Nagar, East Indore", East Indore,Indore,North Indian,3.8,16,250
Seasons Cafe,"Radisson Udaipur,Ashok Nagar, Central Udaipur", Central Udaipur,Udaipur,"North Indian,  Continental,  Oriental ",4.3,16,1600
Barbeque Nation,"Tajganj, East Agra", East Agra,Agra,"North Indian,  Chinese,  Mediterranean",3.8,16,1100
Lattice,"Crystal Sarovar Premiere,Tajganj, East Agra", East Agra,Agra,"North Indian,  Continental,  Chinese",4.6,16,1000
Rule The Rolls,"Diwalipura, West Vadodara", West Vadodara,Vadodara,"Fast Food,  Burger",4.3,16,300
Bogo Cafe,"Akota, Central Vadodara", Central Vadodara,Vadodara,Fast Food,4.1,16,700
SSD's Swad Ghar Ka,"Bajaj Nagar, West Nagpur", West Nagpur,Nagpur,North Indian,4.5,16,600
Royal Dine Restaurant,"Palanpore, West Surat", West Surat,Surat,"North Indian,  Fast Food,  Chinese",4.3,16,600
Malhar Dhosa,"Vesu, South Surat", South Surat,Surat,South Indian,2.2,16,400
